ID,Pension personal,Pension corporativa,Fondo inversión,Fondo inversión (extra),Acciones,Activos renta fija,Criptomonedas,Criptomonedas (extra),Hipoteca_actual,Hipoteca_adquirida_2y,Prestamo_personal_actual,Prestamo_personal_adquirido_2y,Tarjeta_credito_adquirida_2y,Descubierto_autorizado,Tarjeta_credito_para_efectivo,Hipoteca_flexible,Prestamo_contra_fondo_pension,Microcredito,Payday_loan,Empeño_en_casa_de_empeño,Ayuda_familia_comunidad,Prestamo_familia_comunidad
74,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
76,0,0,0,0,0,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
77,1,1,1,0,0,1,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
78,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
79,-98,0,0,0,-98,-98,0,0,0,0,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
80,0,0,0,0,0,0,0,0,1,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
81,0,-98,0,0,-98,-98,1,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
82,1,1,1,0,0,1,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
83,0,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
84,0,0,0,0,0,-98,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
85,0,0,0,0,0,0,-98,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
86,-98,0,0,1,-98,-98,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
87,0,0,0,0,0,-98,0,0,0,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
88,0,1,1,0,1,0,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
89,0,0,0,0,-98,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
