cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight,t_hipoteca,t_ppension_ind,t_ppension_emp,t_fondo_inv,t_acciones,t_prestamo,t_renta_fija,t_cuentas_depositos,adq_hipoteca,adq_ppension_ind,adq_ppension_emp,adq_fondo_inv,adq_acciones,adq_prest,adq_otros_act,adq_renta_fija,adq_cuentas_depositos,uso_cc,uso_ahorro_dep,venta_activos,prestamo_fam,prestamo_amig,tarjeta_cred,descubierto_auto,prest_garantia,linea_cred,prest_banc,prest_nobanc,otro_prest
Educación Secundaria,Desempleado,Otros adultos,Solo residencia principal,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,32,3031,2022,-1,-1,-1,3098.5088,0,0,0,0,0,-98,-98,0,0,0,0,0,0,-98,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive solo,Residencia principal y otras,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,47,3032,2022,1,0,0,1399.3269,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,54,3033,2022,-1,1,1,5443.0859,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive solo,Residencia principal y otras,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,48,3034,2021,1,-1,0,2539.5376,0,0,-98,0,0,1,-98,-98,0,0,-98,0,0,1,0,-98,-98,0,0,0,0,0,0,0,0,0,1,0,0
Universidad,Otros inactivos,Otros adultos,Residencia principal y otras,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,3035,2022,1,1,0,3486.946,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,71,3036,2022,-1,-1,0,2980.5361,0,-98,1,0,0,0,1,0,0,-98,1,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,61,3037,2022,0,1,1,1016.4294,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,42,3038,2022,1,1,1,3089.1187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Desempleado,Vive con pareja,No posee residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,28,3039,2021,0,0,0,6482.5156,0,0,0,0,0,1,-98,0,0,0,0,0,0,1,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Otros adultos,No posee residencia principal,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,19,3040,2021,-1,-1,-1,4197.2192,0,-98,0,0,0,0,-98,0,0,-98,0,0,0,0,0,-98,0,1,0,0,1,0,0,0,0,0,0,0,0
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,3041,2021,1,1,1,5033.4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Otros adultos,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,3042,2022,-1,0,0,2253.3059,0,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3043,2021,1,1,-1,2606.2605,0,0,0,0,-98,0,0,0,0,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,25,3044,2022,1,1,0,7734.8062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive solo,No posee residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,50,3045,2022,1,1,1,8255.957,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Otros inactivos,Otros adultos,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,24,3046,2022,1,1,1,2349.0359,0,0,0,1,0,0,-98,1,0,0,0,1,0,0,0,-98,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Autónomo,Otros adultos,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,3047,2022,-1,0,1,2520.6379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,59,3048,2022,0,1,1,793.13605,1,1,1,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,44,3049,2022,1,0,0,8492.9756,1,0,0,0,-98,0,-98,0,0,0,0,0,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,43,3050,2022,1,0,0,4750.7783,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive solo,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,50,3051,2021,1,0,1,2516.0227,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive solo,No posee residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3052,2022,1,1,0,5530.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Autónomo,Vive con pareja,Solo residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,36,3053,2022,1,0,1,6069.48,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3054,2021,-1,0,0,13421.166,1,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,29,3055,2022,0,0,1,3122.1897,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Otros inactivos,Vive solo,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,76,3056,2022,1,0,1,926.71802,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Otros adultos,No posee residencia principal,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19,3057,2021,1,0,-1,2206.2661,0,-98,0,0,-98,-98,0,0,0,-98,0,0,-98,-98,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73,3058,2021,-1,0,1,9234.2139,0,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Autónomo,Vive solo,Solo residencia principal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,26,3059,2022,1,1,1,3756.2429,0,1,1,1,0,1,0,0,0,0,1,1,0,1,-97,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,3060,2022,0,-1,-1,3703.509,-98,-98,-98,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Autónomo,Vive con pareja,Solo residencia principal,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,41,3061,2022,1,1,1,2938.9463,1,0,0,1,0,1,-98,0,0,0,0,1,0,1,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,3062,2022,1,0,1,3441.0325,0,0,-98,-98,-98,0,-98,-98,0,0,-98,-98,-98,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,3063,2022,1,0,-1,3921.6453,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,0,0,0,1,0,0,0,0,0,0,0,0
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,3065,2022,1,0,0,16654.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,3066,2022,1,1,1,2775.9429,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive solo,Solo residencia principal,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,58,3067,2022,1,1,0,5163.2251,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,3068,2022,-1,0,0,2745.0227,0,0,-98,-98,0,0,0,0,0,0,-98,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3069,2022,1,0,-1,6308.7793,0,0,-98,0,0,0,-98,-98,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,37,3070,2021,1,1,0,3219.5227,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,49,3071,2022,1,1,0,781.70038,0,0,0,1,0,0,-98,0,0,0,0,0,0,0,1,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,19,3072,2021,1,0,1,6935.4023,0,0,0,0,-98,0,1,0,0,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Vive con pareja,No posee residencia principal,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,41,3073,2022,1,0,1,4566.0254,1,0,0,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,1,0,0,0,0,0,0,0,0,0,0,0
Educación Secundaria,Asalariado,Vive solo,No posee residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,3074,2022,1,-1,1,2075.4602,0,0,0,0,-98,0,0,0,0,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Jubilado,Vive con pareja,Solo residencia principal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,3075,2022,1,0,1,2783.5581,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3076,2021,1,0,1,2773.6318,1,0,1,1,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive solo,Solo residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,49,3078,2022,1,1,0,9611.334,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Otros inactivos,Vive con pareja,No posee residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,30,3079,2022,1,0,0,6482.5156,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3080,2022,1,0,-1,5174.8623,0,0,0,-98,0,0,0,-98,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive solo,No posee residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3081,2022,1,-1,0,2347.6406,0,-98,-98,-98,-98,0,-98,0,0,-98,-98,-98,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Autónomo,Vive solo,Solo residencia principal,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,43,3082,2022,1,0,1,6450.8872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Desempleado,Vive con pareja,Solo residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,62,3083,2021,0,0,0,12522.085,1,0,0,0,0,0,0,-98,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive solo,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,3084,2022,-1,-1,-1,3683.0918,0,0,0,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,66,3085,2022,1,0,-1,2322.7913,0,0,-98,1,-98,0,-98,0,0,0,-98,0,-98,0,1,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,3086,2021,1,-1,0,2667.5979,0,0,0,0,-98,0,-98,0,0,0,0,0,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Otros adultos,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3087,2022,-1,-1,-1,6308.7793,0,0,0,0,-98,-98,0,0,0,0,0,0,-98,-98,0,0,0,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97
Educación Primaria,Autónomo,Otros adultos,Residencia principal y otras,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,58,3088,2022,1,-1,1,1901.2777,1,-98,-98,-98,-98,0,-98,-98,0,-98,-98,-98,-98,0,0,-98,-98,0,1,0,0,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,50,3089,2022,1,1,-1,2557.7168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,31,3090,2022,0,0,0,7459.2939,1,1,0,0,-98,0,0,0,1,1,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Otros inactivos,Vive con pareja,Solo residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,65,3091,2021,1,1,1,10596.028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Autónomo,Vive solo,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,3092,2022,1,1,1,7076.4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Otros inactivos,Otros adultos,Residencia principal y otras,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20,3093,2022,1,0,1,4438.8501,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,0,0
Educación Primaria,Desempleado,Otros adultos,Solo residencia principal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,3094,2022,-1,-1,0,8852.5928,0,0,0,0,-98,0,0,0,0,0,0,0,-98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,3095,2021,0,0,0,6189.1958,0,-98,-98,-98,-98,-98,-98,-98,0,-98,-98,-98,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,60,3096,2021,1,0,0,7789.9976,1,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,48,3097,2021,1,0,0,5336.2358,1,0,0,1,-98,0,-98,0,1,0,0,1,-98,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,0,0
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3098,2022,0,1,1,3967.3027,0,1,0,0,-98,0,-98,0,0,0,0,0,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,61,3099,2022,1,1,0,5427.2026,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,38,3100,2022,0,0,0,2965.9619,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,50,3101,2022,1,0,1,6377.9165,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive solo,No posee residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,3102,2022,1,-1,0,9642.0693,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Desempleado,Otros adultos,No posee residencia principal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,3103,2021,1,1,1,4748.6084,0,-98,-98,0,-98,0,-98,0,0,-98,-98,0,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,3104,2022,0,1,-1,2205.2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3105,2022,1,-1,1,5277.3672,0,0,0,0,0,1,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,46,3106,2022,1,0,0,2674.5164,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Vive con pareja,No posee residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33,3107,2021,1,0,1,3661.825,0,0,0,-98,-98,1,-98,0,0,0,0,-98,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive solo,Solo residencia principal,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,67,3108,2022,0,0,1,12137.38,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Educación Primaria,Desempleado,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,34,3109,2022,1,1,0,4329.418,0,0,0,-98,-98,0,-98,0,0,0,0,-98,-98,0,0,-98,0,0,0,0,1,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,46,3110,2022,0,-1,1,3496.3516,1,0,0,0,-98,0,1,0,0,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,60,3111,2022,1,0,0,1121.5646,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,59,3112,2021,1,1,1,5328.8027,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,46,3113,2022,1,1,0,4871.2373,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3114,2022,0,1,1,1139.7612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Desempleado,Vive con pareja,Residencia principal y otras,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,41,3115,2021,0,0,-1,2094.7771,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,35,3116,2022,0,1,0,8644.2676,1,0,0,-98,0,0,1,0,0,0,0,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive solo,Solo residencia principal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,44,3117,2022,1,0,1,2704.8169,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,31,3118,2022,0,0,0,9355.5469,1,0,0,0,-98,0,0,0,1,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Otros inactivos,Otros adultos,Solo residencia principal,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,21,3119,2022,1,1,0,2499.3381,0,-98,0,0,-98,-98,-98,0,0,-98,0,0,-98,-98,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,No posee residencia principal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,3120,2022,-1,0,0,2623.7188,0,-98,-98,-98,-98,-98,-98,-98,0,-98,-98,-98,-98,-98,0,-98,-98,0,0,0,0,0,0,0,0,0,0,0,0
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,3121,2021,0,1,0,5033.4634,0,0,0,0,-98,0,0,0,0,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
