cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight,t_hipoteca,t_ppension_ind,t_ppension_emp,t_fondo_inv,t_acciones,t_prestamo,t_renta_fija,t_cuentas_depositos,adq_hipoteca,adq_ppension_ind,adq_ppension_emp,adq_fondo_inv,adq_acciones,adq_prest,adq_otros_act,adq_renta_fija,adq_cuentas_depositos,uso_cc,uso_ahorro_dep,venta_activos,prestamo_fam,prestamo_amig,tarjeta_cred,descubierto_auto,prest_garantia,linea_cred,prest_banc,prest_nobanc,otro_prest
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,31,2021,1,0,1,435.32391,0,0,0,0,-98,0,0,0,0,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,32,2022,1,0,1,3258.6951,0,0,0,0,0,-98,-98,-98,0,0,0,0,0,-98,0,-98,-98,1,0,0,0,0,0,0,0,0,0,0,0
Universidad,Autónomo,Vive con pareja,Solo residencia principal,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,39,33,2021,0,0,0,2216.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,48,34,2022,1,1,1,2722.5627,0,1,0,0,0,0,-98,0,0,1,1,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,35,2022,1,1,1,4881.1382,0,0,1,1,-98,0,-98,0,0,0,0,0,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,44,36,2022,1,1,0,2896.4443,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Solo residencia principal,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,61,37,2022,1,0,1,2076.2737,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,46,38,2022,1,1,1,2623.333,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,39,2022,0,1,1,3824.4146,0,0,0,0,-98,0,-98,0,0,0,0,0,-98,0,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Otros inactivos,Otros adultos,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,23,40,2022,1,1,1,1967.3148,0,0,1,0,0,0,-98,0,0,0,1,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,29,41,2022,0,1,1,3290.9302,0,0,1,0,-98,-98,0,0,0,0,1,0,-98,-98,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Otros adultos,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,42,2021,1,0,0,4076.2532,0,0,0,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,48,43,2022,1,0,-1,2356.6753,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Otros adultos,Solo residencia principal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,53,44,2021,1,1,-1,4242.9326,1,1,0,0,-98,-98,-98,0,0,0,0,0,-98,-98,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Otros adultos,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,45,2022,1,0,1,4491.1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,No posee residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,46,2022,1,-1,-1,5128.6436,0,0,0,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19,47,2022,0,1,0,4315.9229,0,0,-98,0,-98,-98,1,0,0,0,-98,0,-98,-98,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29,48,2021,0,0,0,4798.5249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Desempleado,Otros adultos,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,49,2022,1,0,1,1598.6246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,47,50,2021,1,0,0,3492.3325,1,1,0,0,0,1,1,-98,0,0,0,0,0,0,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,64,51,2022,1,1,1,10168.982,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Otros inactivos,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,56,52,2022,1,1,1,2387.012,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Solo residencia principal,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,24,53,2021,1,0,0,6572.4419,0,0,0,0,-98,0,-98,0,0,0,0,0,-98,0,1,-98,0,0,0,0,1,0,0,0,0,0,0,0,0
Educación Primaria,Jubilado,Vive solo,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,54,2022,-1,-1,-1,5128.6436,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,42,55,2021,1,-1,1,3577.6797,1,0,0,0,0,1,-98,0,0,0,0,0,0,1,0,-98,0,0,0,0,0,1,0,0,0,1,1,0,1
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,56,2022,1,1,1,2400.3083,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,57,2022,1,-1,1,10709.874,0,0,-98,0,-98,-98,0,-98,0,0,-98,0,-98,-98,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,53,58,2021,1,0,1,8549.8076,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,54,59,2022,1,1,0,1028.299,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22,60,2022,1,1,0,1227.5958,0,0,0,0,-98,0,0,0,0,0,0,0,-98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,53,61,2022,1,1,0,652.36523,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive solo,No posee residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,62,2022,1,1,1,2446.7585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,45,63,2021,1,1,0,4688.5356,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Vive con pareja,Solo residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,57,64,2022,1,1,-1,6523.1816,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,65,2022,1,0,1,1915.903,1,-97,0,0,0,0,-97,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Jubilado,Vive con pareja,No posee residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,68,66,2021,0,1,1,2322.7913,0,0,0,0,-98,1,-98,0,0,0,0,0,-98,1,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,44,67,2021,-1,1,0,9876.0625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,68,2021,1,1,0,2135.7239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
