i0900_1;i0900_2;i0900_3;i0900_4;i0900_5;fi0900;i0700_1;i0700_2;i0700_3;i0700_4;i0700_5;fi0700;j0700_1;j0700_2;j0700_3;j0700_4;j0700_5;fj0700;j0500_1;j0500_2;j0500_3;j0500_4;j0500_5;fj0500;i0300_1;i0300_2;i0300_3;i0300_4;i0300_5;fi0300;j1300_1;j1300_2;j1300_3;j1300_4;j1300_5;fj1300;weight;ID
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;60;60;60;60;60;0;350;350;350;350;350;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;5085.6245;83
38;38;38;38;38;0;420;420;420;420;420;0;1000;1000;1000;1000;1000;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1686.4076;84
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2116.9226;85
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3652.3787;86
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;600;600;600;600;600;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;9625.9834;87
12.18827;100;52.549919;64.365677;100;1;549.47791;812.56799;472.776;568.63312;672.19702;1;500;500;500;500;500;0;505.50061;745.09277;641.1745;768.46753;658.33667;1;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1237.3723;88
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;600;600;600;600;600;0;550;550;550;550;550;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;12095.448;89
50;50;50;50;50;0;802.51721;553.18488;667.8634;1128.093;751.62189;1;10000;10000;10000;10000;10000;0;1500;1500;1500;1500;1500;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;6103.4019;90
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;400;400;400;400;400;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;7181.5464;91
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;3165.0059;92
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;293.03571;561.78363;775.37408;508.43921;340.80539;1;-98;-98;-98;-98;-98;-98;2;2;2;2;3;1;5125.2207;93
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4000;4000;4000;4000;4000;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;8813.5166;94
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;200;200;200;200;200;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;10029.988;95
80;80;80;80;80;0;700;700;700;700;700;0;200;200;200;200;200;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;767.6048;96
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;5170.7319;97
50;50;50;50;50;0;180;180;180;180;180;0;15000;15000;15000;15000;15000;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1641.8354;98
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;25000;25000;25000;25000;25000;0;1302;1302;1302;1302;1302;0;-98;-98;-98;-98;-98;-98;6;6;4;6;6;1;5443.0859;99
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4660.4985;100
70;70;70;70;70;0;1200;1200;1200;1200;1200;0;15000;15000;15000;15000;15000;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;4767.2817;101
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;8253.8467;102
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;50;50;50;50;50;0;300;300;300;300;300;0;500;500;500;500;500;0;3;3;3;3;3;0;3160.4983;103
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4000;4000;4000;4000;4000;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;7794.0166;104
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;200;200;200;200;200;0;160;160;160;160;160;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;6174.1621;105
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;217;217;217;217;217;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;4968.7383;106
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;350;350;350;350;350;0;868;868;868;868;868;0;200;200;200;200;200;0;1;1;1;1;1;0;4633.7876;107
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;700;700;700;700;700;0;500;500;500;500;500;0;4;4;4;4;4;0;5611.9009;108
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;484.9599;532.5791;691.11432;515.16632;622.34082;1;-98;-98;-98;-98;-98;-98;3;3;4;3;3;1;2213.1746;109
80;80;80;80;80;0;640;640;640;640;640;0;0;0;0;0;0;0;284.66351;251.3573;293.948;274.41171;286.14429;1;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6103.4019;110
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;2;3;3;3;4;1;6511.5063;111
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2000;2000;2000;2000;2000;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3229.9297;112
20;20;20;20;20;0;700;700;700;700;700;0;7200;7200;7200;7200;7200;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;2827.5908;113
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;3011.5566;114
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;400;400;400;400;400;0;4;4;4;4;4;0;6688.4551;115
80;80;80;80;80;0;450;450;450;450;450;0;2500;2500;2500;2500;2500;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2192.8604;116
