i0900_1;i0900_2;i0900_3;i0900_4;i0900_5;fi0900;i0700_1;i0700_2;i0700_3;i0700_4;i0700_5;fi0700;j0700_1;j0700_2;j0700_3;j0700_4;j0700_5;fj0700;j0500_1;j0500_2;j0500_3;j0500_4;j0500_5;fj0500;i0300_1;i0300_2;i0300_3;i0300_4;i0300_5;fi0300;j1300_1;j1300_2;j1300_3;j1300_4;j1300_5;fj1300;weight;ID
100;100;100;100;100;0;340;340;340;340;340;0;4000;4000;4000;4000;4000;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;5742.5479;4726
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;2989.4526;4727
-98;-98;-98;-98;-98;-98;650;650;650;650;650;0;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;7457.9155;4728
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;300;300;300;300;300;0;400;400;400;400;400;0;400;400;400;400;400;0;2;2;2;2;2;0;4430.5825;4729
80;80;80;80;80;0;348;348;348;348;348;0;0;0;0;0;0;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;662.25977;4730
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;350;350;350;350;350;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;5931.1411;4731
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;877.7854;4732
70;70;70;70;70;0;118;118;118;118;118;0;3500;3500;3500;3500;3500;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;5611.9009;4733
80;80;80;80;80;0;610;610;610;610;610;0;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;5249.8223;4734
100;100;100;100;100;0;350;350;350;350;350;0;5000;5000;5000;5000;5000;0;1302;1302;1302;1302;1302;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2174.0762;4735
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;347.20001;347.20001;347.20001;347.20001;347.20001;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3576.4009;4736
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;1205.519;4737
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;300;300;300;300;300;0;150;150;150;150;150;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;8650.7139;4738
100;100;100;100;100;0;619.15088;352.9025;274.5293;239.74071;294.948;1;1755.59;2360.0691;6810.6802;3918.8181;6075.647;1;733.56458;445.68259;343.3248;489.8436;1097.4189;1;-98;-98;-98;-98;-98;-98;2;5;4;4;4;1;1502.0957;4739
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;50;50;50;50;50;0;130.2;130.2;130.2;130.2;130.2;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6748.501;4740
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;150;150;150;150;150;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;2465.7102;4741
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1000;1000;1000;1000;1000;0;250;250;250;250;250;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2520.6379;4742
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;103.614;123.2319;161.1917;131.60539;258.7562;1;100;100;100;100;100;0;1;1;1;1;1;0;11412.888;4743
78;78;78;78;78;0;550;550;550;550;550;0;1500;1500;1500;1500;1500;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;479.98639;4744
-98;-98;-98;-98;-98;-98;300;300;300;300;300;0;250;250;250;250;250;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;7915.3105;4745
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;600;600;600;600;600;0;600;600;600;600;600;0;550;550;550;550;550;0;3;3;3;3;3;0;2328.45;4746
100;100;100;100;100;0;230;230;230;230;230;0;3000;3000;3000;3000;3000;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;4224.4233;4747
80;80;80;80;80;0;450;450;450;450;450;0;0;0;0;0;0;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;759.14075;4748
-98;-98;-98;-98;-98;-98;440;440;440;440;440;0;1000;1000;1000;1000;1000;0;900;900;900;900;900;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3125.293;4749
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;320.28351;351.85419;458.4003;228.6848;188.43401;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;1085.7487;4750
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2907.7361;10010.72;3122.8081;630.30157;2475.7781;1;450;450;450;450;450;0;650;650;650;650;650;0;3;3;3;3;3;0;6831.1392;4751
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;500;500;500;500;500;0;500;500;500;500;500;0;600;600;600;600;600;0;1;1;1;1;1;0;3083.8181;4752
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;5630.418;4753
-98;-98;-98;-98;-98;-98;27.367451;85.291512;68.067543;35.568291;79.429733;1;1000;1000;1000;1000;1000;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;8480.1855;4754
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;200;200;200;200;200;0;400;400;400;400;400;0;400;400;400;400;400;0;1;1;1;1;1;0;1082.2394;4755
100;100;54.522598;100;80;1;500;500;500;500;500;0;0;0;0;0;0;0;250;250;250;250;250;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;2830.8721;4756
48;48;48;48;48;0;1500;1500;1500;1500;1500;0;400;400;400;400;400;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;5921.2363;4757
-98;-98;-98;-98;-98;-98;400;400;400;400;400;0;12000;12000;12000;12000;12000;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;9903.8369;4758
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;350;350;350;350;350;0;2;2;2;2;2;0;3075.8611;4759
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1085;1085;1085;1085;1085;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;6103.4019;4760
80;80;80;80;80;0;700;700;700;700;700;0;10756.84;9972.25;4391.689;15345.44;3558.1809;1;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;5715.6265;4761
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2000;2000;2000;2000;2000;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;5797.4243;4762
80;80;80;80;80;0;1200;1200;1200;1200;1200;0;5000;5000;5000;5000;5000;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;8697.1094;4763
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;360;360;360;360;360;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2600.5388;4764
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2500;2500;2500;2500;2500;0;1063.3;1063.3;1063.3;1063.3;1063.3;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2636.5742;4765
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3000;3000;3000;3000;3000;0;500;500;500;500;500;0;480;480;480;480;480;0;4;4;4;4;4;0;6574.1719;4766
80;80;80;80;80;0;500;500;500;500;500;0;200;200;200;200;200;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;11432.39;4767
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;8000;8000;8000;8000;8000;0;434;434;434;434;434;0;525;525;525;525;525;0;4;4;4;4;4;0;5483.4419;4768
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;651;651;651;651;651;0;500;500;500;500;500;0;2;2;2;2;2;0;2559.8972;4769
-98;-98;-98;-98;-98;-98;935.72931;115.6796;410.66541;235.4688;81.270012;1;6000;6000;6000;6000;6000;0;520.79999;520.79999;520.79999;520.79999;520.79999;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;3505.1609;4770
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;435.32391;4771
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;10173.523;4772
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;500;500;500;500;500;0;300;300;300;300;300;0;500;500;500;500;500;0;2;2;2;2;2;0;4077.4128;4773
100;80;80;100;80;1;350;350;350;350;350;0;600;600;600;600;600;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3094.8816;4774
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;350;350;350;350;350;0;410;410;410;410;410;0;2;2;2;2;2;0;1835.0065;4775
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;602.86041;565.95728;532.01923;674.36108;648.05542;1;437.84271;405.353;482.04739;464.20401;406.82819;1;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;4986.0879;4776
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;18962.916;4777
80;80;80;80;80;0;956;956;956;956;956;0;0;0;0;0;0;0;240;240;240;240;240;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;4859.063;4778
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;400;400;400;400;400;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2501.8354;4779
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;700;700;700;700;700;0;300;300;300;300;300;0;500;500;500;500;500;0;2;2;2;2;2;0;5483.626;4780
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;600;600;600;600;600;0;700;700;700;700;700;0;750;750;750;750;750;0;2;2;2;2;2;0;7486.627;4781
80;80;80;80;80;0;413;413;413;413;413;0;1200;1200;1200;1200;1200;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;4224.8242;4782
100;100;100;100;100;0;723;723;723;723;723;0;1000;1000;1000;1000;1000;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4351.9502;4783
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;2860.2524;4784
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;726.77332;4785
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;403.62;403.62;403.62;403.62;403.62;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1809.6306;4786
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;370.8956;327.3425;307.8652;328.1561;387.75269;1;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;8924.8916;4787
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;27000;27000;27000;27000;27000;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;5443.0859;4788
80;80;80;80;80;0;500;500;500;500;500;0;3000;3000;3000;3000;3000;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;7493.8047;4789
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;400;400;400;400;400;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;942.74811;4790
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;253.5986;248.83749;250.1102;228.4498;242.13251;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;12620.044;4791
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;2364.7417;4792
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1200;1200;1200;1200;1200;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6383.1187;4793
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;7794.0166;4794
80;80;80;80;80;0;1000;1000;1000;1000;1000;0;5000;5000;5000;5000;5000;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;6820.8057;4795
60;60;60;60;60;0;300;300;300;300;300;0;0;0;0;0;0;0;231.4447;225.7603;234.6301;203.57919;231.6947;1;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3130.2556;4796
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;350;350;350;350;350;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;11956.977;4797
80;80;80;80;80;0;290;290;290;290;290;0;250;250;250;250;250;0;430.89871;876.96979;273.6496;380.91531;346.47961;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;8799.876;4798
100;100;100;100;100;0;450;450;450;450;450;0;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;2458.6682;4799
100;100;100;100;100;0;500;500;500;500;500;0;2000;2000;2000;2000;2000;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3595.0474;4800
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2500;2500;2500;2500;2500;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;2678.2224;4801
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2372.4133;4802
80;80;80;80;80;0;500;500;500;500;500;0;200;200;200;200;200;0;593.86023;563.39801;572.75781;572.89838;559.36182;1;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6294.4971;4803
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;500;500;500;500;500;0;2;2;2;2;2;0;1997.7496;4804
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2594.2485;4805
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2456.0847;4806
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5000;5000;5000;5000;5000;0;976.5;976.5;976.5;976.5;976.5;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;5023.0854;4807
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;459.35849;196.8329;380.65881;358.1384;516.15991;1;-98;-98;-98;-98;-98;-98;1;1;2;2;2;1;5931.1411;4808
100;100;100;100;100;0;492;492;492;492;492;0;700;700;700;700;700;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;1399.3269;4809
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;8266.0889;4810
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;600;600;600;600;600;0;325.5;325.5;325.5;325.5;325.5;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;570.10315;4811
80;80;80;80;80;0;480;480;480;480;480;0;0;0;0;0;0;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2107.051;4812
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1000;1000;1000;1000;1000;0;100;100;100;100;100;0;160;160;160;160;160;0;2;2;2;2;2;0;1879.374;4813
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2000;2000;2000;2000;2000;0;493.33929;354.17941;429.12201;728.98651;219.1653;1;-98;-98;-98;-98;-98;-98;4;2;4;4;4;1;6358.2549;4814
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;150;150;150;150;150;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;2441.2715;4815
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;250;250;250;250;250;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4921.7251;4816
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;564.79626;4817
80;80;80;80;80;0;380;380;380;380;380;0;0;0;0;0;0;0;432.42029;305.95319;215.3472;305.14661;487.715;1;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;1935.4779;4818
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;350.29568;158.3317;717.27612;1;200;200;200;200;200;0;500;500;500;500;500;0;1;1;1;1;1;0;3677.186;4819
50;50;50;50;50;0;250;250;250;250;250;0;3600;3600;3600;3600;3600;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;2468.196;4820
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;60;60;60;60;60;0;434;434;434;434;434;0;450;450;450;450;450;0;4;4;4;4;4;0;2683.6833;4821
100;100;100;100;100;0;450;450;450;450;450;0;3800;3800;3800;3800;3800;0;2000;2000;2000;2000;2000;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3577.6797;4822
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;8000;8000;8000;8000;8000;0;1215.2;1215.2;1215.2;1215.2;1215.2;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;5443.0859;4823
80;80;80;80;80;0;90;90;90;90;90;0;3000;3000;3000;3000;3000;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;980.6629;4824
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;2;2;1;2;2;1;6525.0547;4825
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;11117.19;4826
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5000;5000;5000;5000;5000;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;3290.9302;4827
80;80;80;86.918617;80;1;170;170;170;170;170;0;0;0;0;0;0;0;303.79999;303.79999;303.79999;303.79999;303.79999;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3677.5515;4828
70;70;70;70;70;0;800;800;800;800;800;0;6000;6000;6000;6000;6000;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;5;6;6;6;6;1;2672.7661;4829
60;60;60;60;60;0;670;670;670;670;670;0;9500;9500;9500;9500;9500;0;641.54822;631.82849;622.20428;644.42688;643.52753;1;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;3630.2805;4830
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1000;1000;1000;1000;1000;0;217;217;217;217;217;0;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;6032.8042;4831
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;3470.4119;4832
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3000;3000;3000;3000;3000;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;6790.8223;4833
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;9272;4834
85;85;85;85;85;0;500;500;500;500;500;0;1187.004;1169.666;161.3755;18869.02;705.30511;1;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;5992.0986;4835
60;60;60;60;60;0;200;200;200;200;200;0;1070.1021;1339.853;101.649;7570.1968;9610.3613;1;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;1487.7899;4836
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;195.3904;168.843;169.7924;151.40649;184.4612;1;450;450;450;450;450;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;7931.2588;4837
-98;-98;-98;-98;-98;-98;260;260;260;260;260;0;1400;1400;1400;1400;1400;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;2211.1775;4838
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;217;217;217;217;217;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3779.2178;4839
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;1015.5293;4840
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;4872.3018;4841
90;90;90;90;90;0;340;340;340;340;340;0;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2922.8584;4842
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1700;1700;1700;1700;1700;0;900;900;900;900;900;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2746.9302;4843
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;13000;13000;13000;13000;13000;0;434;434;434;434;434;0;460;460;460;460;460;0;4;4;4;4;4;0;8253.8467;4844
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;10000;10000;10000;10000;10000;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;1997.7496;4845
100;100;100;100;100;0;400;400;400;400;400;0;500;500;500;500;500;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;10454.063;4846
50;50;50;50;50;0;250;250;250;250;250;0;868.59137;851.93268;817.92169;845.24731;852.53461;1;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3470.2109;4847
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1000;1000;1000;1000;1000;0;868;868;868;868;868;0;600;600;600;600;600;0;3;3;3;3;3;0;5779.9355;4848
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;200;200;200;200;200;0;250;250;250;250;250;0;550;550;550;550;550;0;2;2;2;2;2;0;8994.8066;4849
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;6947.6016;4850
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;8000;8000;8000;8000;8000;0;347.20001;347.20001;347.20001;347.20001;347.20001;0;195;195;195;195;195;0;1;1;1;1;1;0;2676.5669;4851
50;50;50;50;50;0;430;430;430;430;430;0;1000;1000;1000;1000;1000;0;350;350;350;350;350;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6382.4561;4852
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1000;1000;1000;1000;1000;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;5731.002;4853
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;150;150;150;150;150;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;2116.9226;4854
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;658.67358;3901.824;1554.929;9028.8906;1521.347;1;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;4546.3135;4855
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;4439.7515;4856
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;10000;10000;10000;10000;10000;0;453.29959;332.9278;765.93518;884.74438;608.62268;1;-98;-98;-98;-98;-98;-98;3;3;4;5;2;1;6223.0649;4857
60;60;60;60;60;0;250;250;250;250;250;0;2000;2000;2000;2000;2000;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2827.5908;4858
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;607.59998;607.59998;607.59998;607.59998;607.59998;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;5328.8027;4859
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1736;1736;1736;1736;1736;0;300;300;300;300;300;0;2;2;2;2;2;0;2119.9109;4860
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4076.2532;4861
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;520.79999;520.79999;520.79999;520.79999;520.79999;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3915.7869;4862
